county,date,status,number
Baker,2018-02-27,APPROVED,4
Baker,2018-02-28,APPROVED,9
Baker,2018-03-01,APPROVED,14
Baker,2018-03-02,APPROVED,18
Baker,2018-03-03,APPROVED,28
Baker,2018-03-03,CANCELED,1
Baker,2018-03-03,DENIED,1
Baker,2018-03-04,APPROVED,13
Baker,2018-03-05,APPROVED,6
Baker,2018-03-06,APPROVED,10
Baker,2018-03-07,APPROVED,11
Baker,2018-03-08,APPROVED,6
Baker,2018-03-09,APPROVED,8
Baker,2018-03-10,APPROVED,24
Baker,2018-03-10,CANCELED,1
Baker,2018-03-11,APPROVED,15
Baker,2018-03-12,APPROVED,10
Baker,2018-03-12,DENIED,1
Baker,2018-03-13,APPROVED,3
Baker,2018-03-14,APPROVED,5
Baker,2018-03-15,APPROVED,15
Baker,2018-03-16,APPROVED,10
Baker,2018-03-16,DENIED,1
Baker,2018-03-17,APPROVED,15
Baker,2018-03-18,APPROVED,1
Baker,2018-03-19,APPROVED,8
Baker,2018-03-20,APPROVED,14
Baker,2018-03-21,APPROVED,6
Baker,2018-03-21,CANCELED,1
Baker,2018-03-22,APPROVED,13
Baker,2018-03-23,APPROVED,10
Baker,2018-03-24,APPROVED,11
Baker,2018-03-25,APPROVED,3
Baker,2018-03-26,APPROVED,8
Baker,2018-03-27,APPROVED,12
Baker,2018-03-28,APPROVED,9
Baker,2018-03-28,DENIED,1
Baker,2018-03-29,APPROVED,11
Baker,2018-03-30,APPROVED,12
Baker,2018-03-31,APPROVED,12
Baker,2018-04-02,APPROVED,4
Baker,2018-04-03,APPROVED,3
Baker,2018-04-03,DENIED,1
Baker,2018-04-04,APPROVED,6
Baker,2018-04-05,APPROVED,6
Baker,2018-04-06,APPROVED,1
Baker,2018-04-06,DENIED,1
Baker,2018-04-07,APPROVED,18
Baker,2018-04-07,CANCELED,1
Baker,2018-04-08,APPROVED,27
Baker,2018-04-08,CANCELED,1
Baker,2018-04-09,APPROVED,6
Baker,2018-04-10,APPROVED,5
Baker,2018-04-11,APPROVED,10
Baker,2018-04-12,APPROVED,6
Baker,2018-04-13,APPROVED,7
Baker,2018-04-14,APPROVED,11
Baker,2018-04-15,APPROVED,6
Baker,2018-04-15,CANCELED,1
Baker,2018-04-16,APPROVED,3
Baker,2018-04-17,APPROVED,6
Baker,2018-04-18,APPROVED,9
Baker,2018-04-19,APPROVED,5
Baker,2018-04-20,APPROVED,3
Baker,2018-04-21,APPROVED,2
Baker,2018-04-22,APPROVED,6
Baker,2018-04-23,APPROVED,1
Baker,2018-04-24,APPROVED,4
Baker,2018-04-25,APPROVED,5
Baker,2018-04-25,CANCELED,1
Baker,2018-04-26,APPROVED,7
Baker,2018-04-27,APPROVED,5
Baker,2018-04-28,APPROVED,7
