Category: All categories

Day,Measure 114: (Bend OR),Oregon Ducks football: (Bend OR),Wordle: (Bend OR),Taylor Swift: (Bend OR),COVID: (Bend OR)
2022-08-01,0,0,65,0,30
2022-08-02,0,0,55,0,31
2022-08-03,0,0,59,0,33
2022-08-04,0,0,43,0,35
2022-08-05,0,0,60,0,36
2022-08-06,0,0,57,0,28
2022-08-07,0,0,62,0,30
2022-08-08,0,0,65,0,49
2022-08-09,0,0,49,0,28
2022-08-10,0,0,66,0,22
2022-08-11,0,0,59,0,43
2022-08-12,0,0,46,0,48
2022-08-13,0,0,75,0,54
2022-08-14,0,0,84,0,34
2022-08-15,0,0,70,0,34
2022-08-16,0,0,47,0,31
2022-08-17,0,0,55,0,36
2022-08-18,0,0,51,0,0
2022-08-19,0,0,52,0,22
2022-08-20,0,0,61,0,20
2022-08-21,0,0,46,0,31
2022-08-22,0,0,40,0,36
2022-08-23,0,0,49,0,19
2022-08-24,0,0,46,0,0
2022-08-25,0,0,40,0,36
2022-08-26,0,0,44,0,17
2022-08-27,0,0,45,0,26
2022-08-28,0,0,60,0,0
2022-08-29,0,0,50,0,24
2022-08-30,0,0,49,0,26
2022-08-31,0,0,50,0,23
2022-09-01,0,0,46,0,23
2022-09-02,0,0,36,0,20
2022-09-03,0,54,52,0,20
2022-09-04,0,24,39,0,23
2022-09-05,0,0,65,0,18
2022-09-06,0,0,58,0,0
2022-09-07,0,0,40,0,31
2022-09-08,0,0,57,0,34
2022-09-09,0,0,46,0,15
2022-09-10,0,36,39,0,33
2022-09-11,0,50,52,0,0
2022-09-12,0,0,47,0,26
2022-09-13,0,0,50,0,39
2022-09-14,0,0,40,0,48
2022-09-15,0,0,48,0,33
2022-09-16,0,14,45,0,25
2022-09-17,0,56,60,0,32
2022-09-18,26,25,40,0,17
2022-09-19,0,0,58,0,53
2022-09-20,0,0,38,0,33
2022-09-21,0,0,45,0,43
2022-09-22,0,0,45,0,43
2022-09-23,0,16,54,0,29
2022-09-24,20,50,50,0,33
2022-09-25,0,35,41,0,19
2022-09-26,0,0,54,0,29
2022-09-27,0,0,24,0,41
2022-09-28,0,0,51,0,23
2022-09-29,0,0,42,0,29
2022-09-30,0,0,43,0,33
2022-10-01,0,22,47,0,26
2022-10-02,0,100,54,0,24
2022-10-03,0,0,40,0,40
2022-10-04,0,0,52,0,29
2022-10-05,0,0,38,0,21
2022-10-06,0,0,41,0,34
2022-10-07,0,18,53,0,41
2022-10-08,0,39,35,0,26
2022-10-09,0,68,55,0,23
2022-10-10,0,0,55,17,31
2022-10-11,0,0,52,0,29
2022-10-12,0,0,40,0,26
2022-10-13,0,0,39,0,29
2022-10-14,0,0,34,0,24
2022-10-15,0,35,33,0,28
2022-10-16,0,0,63,0,0
2022-10-17,0,0,42,0,32
2022-10-18,0,0,46,0,16
2022-10-19,0,0,40,0,35
2022-10-20,0,0,50,0,28
2022-10-21,0,22,46,19,26
2022-10-22,0,78,55,0,31
2022-10-23,0,21,55,0,16
2022-10-24,0,0,31,18,25
2022-10-25,0,0,30,0,28
2022-10-26,0,0,35,17,38
2022-10-27,0,0,48,0,28
2022-10-28,0,0,46,0,28
2022-10-29,0,84,55,0,0
2022-10-30,0,25,50,0,28
2022-10-31,0,0,40,0,25
2022-11-01,0,0,54,19,25
2022-11-02,0,0,46,18,30
2022-11-03,0,0,46,0,18
2022-11-04,0,0,55,0,0
2022-11-05,0,60,42,0,17
2022-11-06,0,28,47,0,24
2022-11-07,0,0,42,0,29
2022-11-08,0,17,42,0,27
2022-11-09,87,0,31,0,14
2022-11-10,94,15,35,0,0
2022-11-11,34,0,41,0,0
2022-11-12,29,28,31,0,15
2022-11-13,0,60,55,0,18
