Category: All categories

Day,Measure 114: (Eugene OR),Oregon Ducks football: (Eugene OR),Wordle: (Eugene OR),Taylor Swift: (Eugene OR),COVID: (Eugene OR)
2022-08-01,0,0,27,0,31
2022-08-02,0,0,31,4,27
2022-08-03,0,4,32,0,24
2022-08-04,0,5,27,0,29
2022-08-05,0,5,30,0,27
2022-08-06,0,0,30,0,21
2022-08-07,0,4,32,5,21
2022-08-08,0,4,27,0,23
2022-08-09,0,0,31,0,18
2022-08-10,0,5,27,0,19
2022-08-11,0,0,26,0,23
2022-08-12,0,0,30,0,27
2022-08-13,0,0,29,0,22
2022-08-14,0,0,34,0,17
2022-08-15,0,5,34,0,23
2022-08-16,0,0,23,0,24
2022-08-17,0,0,29,0,21
2022-08-18,0,0,25,0,18
2022-08-19,0,0,27,0,18
2022-08-20,0,5,24,0,14
2022-08-21,0,0,30,0,15
2022-08-22,0,7,27,0,19
2022-08-23,0,5,24,0,19
2022-08-24,0,5,29,0,16
2022-08-25,0,5,25,0,15
2022-08-26,0,7,33,0,17
2022-08-27,0,7,32,0,12
2022-08-28,0,6,28,0,15
2022-08-29,0,7,26,9,25
2022-08-30,0,4,23,0,17
2022-08-31,0,8,30,0,17
2022-09-01,0,7,27,0,21
2022-09-02,0,9,25,0,21
2022-09-03,0,38,34,0,17
2022-09-04,0,15,26,0,15
2022-09-05,0,0,24,0,19
2022-09-06,0,4,27,0,22
2022-09-07,0,5,29,0,19
2022-09-08,0,6,22,0,19
2022-09-09,0,9,22,0,19
2022-09-10,0,35,27,0,15
2022-09-11,0,68,28,0,14
2022-09-12,0,9,31,0,20
2022-09-13,0,5,28,0,23
2022-09-14,0,4,27,0,22
2022-09-15,0,4,22,0,20
2022-09-16,0,10,35,0,20
2022-09-17,0,76,26,0,19
2022-09-18,0,25,30,0,16
2022-09-19,0,8,25,0,25
2022-09-20,0,6,22,0,27
2022-09-21,0,4,22,0,20
2022-09-22,0,5,22,0,20
2022-09-23,0,10,25,0,16
2022-09-24,0,66,23,0,20
2022-09-25,0,26,27,0,16
