Category: All categories

Day,Measure 114: (Medford-Klamath Falls OR),Oregon Ducks football: (Medford-Klamath Falls OR),Wordle: (Medford-Klamath Falls OR),Taylor Swift: (Medford-Klamath Falls OR),COVID: (Medford-Klamath Falls OR)
2022-08-01,0,0,28,0,33
2022-08-02,0,0,42,0,41
2022-08-03,0,8,31,0,18
2022-08-04,0,0,26,0,31
2022-08-05,0,0,26,0,32
2022-08-06,0,0,36,0,28
2022-08-07,0,0,30,0,28
2022-08-08,0,0,22,0,36
2022-08-09,0,0,24,0,26
2022-08-10,0,0,22,0,21
2022-08-11,0,0,28,0,29
2022-08-12,0,0,31,0,37
2022-08-13,0,11,30,0,31
2022-08-14,0,0,37,0,28
2022-08-15,0,0,31,0,33
2022-08-16,0,0,31,0,32
2022-08-17,0,0,30,0,29
2022-08-18,0,0,27,0,29
2022-08-19,0,0,29,0,23
2022-08-20,0,0,26,0,24
2022-08-21,0,0,30,0,21
2022-08-22,0,0,37,0,28
2022-08-23,0,0,31,0,31
2022-08-24,0,0,29,0,19
2022-08-25,0,0,27,0,29
2022-08-26,0,0,35,0,30
2022-08-27,0,14,33,0,18
2022-08-28,0,0,31,0,19
2022-08-29,0,0,26,0,25
2022-08-30,0,0,24,0,23
2022-08-31,0,9,34,0,21
2022-09-01,0,0,32,0,26
2022-09-02,0,10,23,0,21
2022-09-03,0,50,29,0,12
2022-09-04,0,19,32,0,18
2022-09-05,0,11,29,0,16
2022-09-06,0,0,30,0,29
2022-09-07,0,0,29,0,30
2022-09-08,0,0,23,0,19
2022-09-09,0,0,26,0,23
2022-09-10,0,33,29,0,22
2022-09-11,0,67,41,0,26
2022-09-12,0,9,24,0,28
2022-09-13,0,0,30,0,27
2022-09-14,0,0,30,0,30
2022-09-15,0,9,34,0,27
2022-09-16,0,10,31,0,31
2022-09-17,0,58,23,0,24
2022-09-18,0,17,25,0,18
2022-09-19,0,0,24,0,31
2022-09-20,0,0,22,0,32
2022-09-21,0,0,33,0,30
2022-09-22,0,9,24,0,26
2022-09-23,0,13,30,0,28
2022-09-24,0,51,35,0,25
2022-09-25,0,24,39,0,22
2022-09-26,0,11,20,0,28
2022-09-27,0,0,28,0,20
2022-09-28,0,9,33,0,34
2022-09-29,0,10,26,0,30
2022-09-30,0,16,24,0,20
2022-10-01,0,31,32,0,19
2022-10-02,0,64,20,0,18
2022-10-03,0,0,30,0,16
2022-10-04,0,10,32,0,16
2022-10-05,0,0,28,0,23
2022-10-06,0,8,26,0,24
2022-10-07,0,9,29,0,24
2022-10-08,0,28,35,0,22
2022-10-09,0,71,32,0,17
2022-10-10,0,14,26,0,24
2022-10-11,0,0,29,0,15
2022-10-12,0,14,25,0,28
2022-10-13,0,8,36,0,26
2022-10-14,0,0,21,0,24
2022-10-15,0,35,27,0,12
2022-10-16,0,26,29,0,13
2022-10-17,0,0,28,0,27
2022-10-18,0,0,33,0,30
2022-10-19,0,0,31,0,30
2022-10-20,0,0,23,0,30
2022-10-21,9,0,27,28,21
2022-10-22,0,61,18,10,18
2022-10-23,0,29,26,0,17
2022-10-24,0,0,30,0,18
2022-10-25,10,0,21,0,23
2022-10-26,0,0,35,0,22
2022-10-27,0,0,29,0,22
2022-10-28,0,0,30,0,22
2022-10-29,0,73,23,0,16
2022-10-30,0,18,30,0,20
