Category: All categories

Day,Measure 114: (Oregon),Oregon Ducks football: (Oregon),Wordle: (Oregon),Taylor Swift: (Oregon),COVID: (Oregon)
2022-08-01,0,3,47,2,43
2022-08-02,0,3,54,3,40
2022-08-03,0,3,49,2,40
2022-08-04,0,3,51,2,38
2022-08-05,0,3,48,2,39
2022-08-06,0,4,51,3,37
2022-08-07,0,4,51,3,34
2022-08-08,0,3,49,1,39
2022-08-09,0,2,47,2,33
2022-08-10,0,2,42,2,36
2022-08-11,0,3,41,2,38
2022-08-12,0,4,43,1,42
2022-08-13,0,4,51,3,34
2022-08-14,0,3,62,2,30
2022-08-15,0,4,54,1,41
2022-08-16,0,3,41,1,36
2022-08-17,0,3,44,2,34
2022-08-18,0,4,44,1,34
2022-08-19,0,3,46,1,31
2022-08-20,0,5,46,2,28
2022-08-21,0,5,43,1,29
2022-08-22,0,5,43,2,33
2022-08-23,0,5,42,2,31
2022-08-24,0,4,41,2,30
2022-08-25,0,4,39,1,30
2022-08-26,0,5,43,1,30
2022-08-27,0,9,48,2,27
2022-08-28,0,6,50,2,26
2022-08-29,1,7,43,14,36
2022-08-30,0,6,43,5,33
2022-08-31,0,7,42,4,34
2022-09-01,0,8,43,5,34
2022-09-02,0,9,40,3,31
2022-09-03,0,51,50,2,30
2022-09-04,0,21,44,4,26
2022-09-05,0,6,47,3,27
2022-09-06,0,5,41,2,34
2022-09-07,0,4,41,2,37
2022-09-08,0,4,39,2,31
2022-09-09,0,7,38,2,28
2022-09-10,0,33,41,3,28
2022-09-11,0,61,43,2,25
2022-09-12,0,7,50,2,32
2022-09-13,0,6,44,2,34
2022-09-14,0,4,43,2,33
2022-09-15,0,5,40,3,35
2022-09-16,0,8,50,3,33
2022-09-17,0,65,43,2,33
2022-09-18,0,26,42,3,28
2022-09-19,0,8,39,2,37
2022-09-20,0,7,40,3,41
2022-09-21,0,5,44,3,37
2022-09-22,0,7,38,3,36
2022-09-23,0,9,42,3,34
2022-09-24,0,60,40,3,31
2022-09-25,0,31,44,3,27
2022-09-26,0,8,41,3,34
2022-09-27,1,7,39,4,36
2022-09-28,0,6,42,3,34
2022-09-29,1,6,39,3,31
2022-09-30,1,9,38,2,28
2022-10-01,1,30,40,3,27
2022-10-02,1,69,41,3,25
2022-10-03,0,8,36,3,31
2022-10-04,1,6,36,2,28
2022-10-05,2,5,38,3,29
2022-10-06,1,6,37,2,31
2022-10-07,1,9,39,5,31
2022-10-08,2,36,44,4,29
2022-10-09,1,69,40,3,25
2022-10-10,1,9,38,2,31
2022-10-11,2,7,43,1,32
2022-10-12,2,6,40,2,27
2022-10-13,2,6,44,4,28
2022-10-14,3,7,38,2,30
2022-10-15,3,28,41,3,25
2022-10-16,3,22,38,4,24
2022-10-17,4,5,36,4,30
2022-10-18,3,6,39,4,31
2022-10-19,3,5,37,4,31
2022-10-20,3,4,39,7,29
2022-10-21,4,9,38,37,25
2022-10-22,4,68,40,18,26
2022-10-23,4,30,42,13,24
2022-10-24,3,9,37,10,28
2022-10-25,4,7,37,12,28
2022-10-26,4,7,40,10,27
2022-10-27,3,6,39,8,26
2022-10-28,4,11,37,8,27
2022-10-29,4,74,39,9,23
2022-10-30,4,23,41,7,21
2022-10-31,4,7,45,7,22
2022-11-01,3,6,39,23,24
2022-11-02,3,6,43,15,26
2022-11-03,4,6,39,11,29
2022-11-04,4,9,39,11,27
2022-11-05,4,52,36,11,21
2022-11-06,6,24,35,8,21
2022-11-07,6,9,36,7,25
2022-11-08,9,6,36,7,24
2022-11-09,100,5,33,5,20
2022-11-10,78,6,37,6,24
2022-11-11,38,11,37,9,24
2022-11-12,26,35,39,8,22
2022-11-13,14,70,44,6,23
2022-11-14,10,7,39,12,24
2022-11-15,9,5,41,38,26
2022-11-16,8,6,40,35,26
2022-11-17,9,6,43,21,28
2022-11-18,7,7,41,22,26
2022-11-19,6,35,45,16,26
2022-11-20,5,94,39,12,25
2022-11-21,5,11,40,8,27
2022-11-22,6,6,42,8,26
2022-11-23,5,7,36,7,26
2022-11-24,2,9,37,7,25
2022-11-25,3,12,40,6,24
2022-11-26,3,59,37,7,24
2022-11-27,3,38,36,7,26
2022-11-28,3,6,33,5,30
2022-11-29,4,5,37,4,29
2022-11-30,3,5,37,4,28
2022-12-01,4,5,38,5,26
2022-12-02,10,5,38,5,25
2022-12-03,9,12,36,4,26
2022-12-04,5,11,37,5,22
2022-12-05,10,7,36,4,22
2022-12-06,19,6,38,4,25
2022-12-07,15,5,41,4,28
2022-12-08,12,4,35,2,24
2022-12-09,7,5,33,4,24
2022-12-10,3,6,43,5,25
2022-12-11,3,5,42,5,25
