Category: All categories

Day,Measure 114: (Portland OR),Oregon Ducks football: (Portland OR),Wordle: (Portland OR),Taylor Swift: (Portland OR),COVID: (Portland OR)
2022-08-01,0,4,51,3,48
2022-08-02,0,3,58,4,46
2022-08-03,0,2,52,3,46
2022-08-04,0,2,56,3,41
2022-08-05,0,5,54,2,41
2022-08-06,0,3,59,4,44
2022-08-07,0,3,55,3,40
2022-08-08,0,2,53,3,42
2022-08-09,0,2,52,1,40
2022-08-10,0,2,51,2,43
2022-08-11,0,3,47,2,44
2022-08-12,0,3,50,2,47
2022-08-13,0,4,58,2,39
2022-08-14,0,3,74,2,36
2022-08-15,0,3,56,0,44
2022-08-16,0,3,51,2,42
2022-08-17,0,3,49,3,38
2022-08-18,0,4,49,0,40
2022-08-19,0,3,54,2,35
2022-08-20,0,4,54,3,34
2022-08-21,0,4,48,2,33
2022-08-22,0,3,50,3,38
2022-08-23,0,5,52,1,38
2022-08-24,0,3,46,2,37
2022-08-25,0,4,46,2,36
2022-08-26,0,5,49,2,37
2022-08-27,0,7,55,3,32
2022-08-28,0,5,60,3,29
2022-08-29,0,6,50,16,43
2022-08-30,0,6,50,6,41
2022-08-31,0,5,47,4,41
2022-09-01,0,6,50,6,39
2022-09-02,0,7,47,4,36
2022-09-03,0,50,55,4,36
2022-09-04,0,21,50,5,31
2022-09-05,0,6,54,4,31
2022-09-06,0,4,48,3,41
2022-09-07,0,4,49,3,42
2022-09-08,0,4,45,3,36
2022-09-09,0,5,45,4,31
2022-09-10,0,29,46,4,34
2022-09-11,0,51,48,3,28
2022-09-12,0,6,58,3,38
2022-09-13,0,5,46,3,35
2022-09-14,0,3,49,3,36
2022-09-15,0,4,48,4,40
2022-09-16,0,6,55,4,38
2022-09-17,0,52,51,2,37
2022-09-18,0,23,47,3,34
2022-09-19,0,8,45,3,42
2022-09-20,0,6,48,4,46
2022-09-21,0,4,47,3,41
2022-09-22,0,5,44,4,42
2022-09-23,0,6,49,3,41
2022-09-24,0,53,45,3,34
2022-09-25,0,31,49,4,32
2022-09-26,0,7,48,3,39
2022-09-27,0,5,47,4,39
2022-09-28,0,5,46,4,39
2022-09-29,1,4,45,4,35
2022-09-30,0,7,43,2,31
2022-10-01,0,26,46,3,31
2022-10-02,0,55,45,3,32
2022-10-03,0,7,39,3,36
2022-10-04,2,5,41,3,32
2022-10-05,2,4,43,3,31
2022-10-06,2,5,43,4,34
2022-10-07,0,6,44,5,36
2022-10-08,0,29,52,4,33
2022-10-09,0,55,47,3,28
2022-10-10,0,7,45,3,36
2022-10-11,1,6,47,3,35
2022-10-12,1,4,46,2,31
2022-10-13,2,5,47,4,32
2022-10-14,3,6,45,4,34
2022-10-15,2,27,47,4,29
2022-10-16,2,19,43,5,27
2022-10-17,3,4,40,5,35
2022-10-18,2,5,45,4,36
2022-10-19,3,5,43,4,34
2022-10-20,3,3,47,10,32
2022-10-21,4,7,43,41,28
2022-10-22,3,57,48,24,28
2022-10-23,4,27,48,15,27
2022-10-24,3,8,43,11,32
2022-10-25,4,6,44,13,31
2022-10-26,4,5,47,12,30
2022-10-27,3,5,45,9,28
2022-10-28,5,10,42,9,29
2022-10-29,4,57,44,11,28
2022-10-30,4,20,48,8,23
2022-10-31,3,7,48,8,26
2022-11-01,3,5,45,28,27
2022-11-02,3,6,47,19,29
2022-11-03,5,5,46,14,35
2022-11-04,5,8,46,14,32
2022-11-05,4,45,41,12,26
2022-11-06,5,20,39,10,24
2022-11-07,6,8,42,8,27
2022-11-08,11,5,41,9,28
2022-11-09,100,4,39,6,24
2022-11-10,73,4,41,7,26
2022-11-11,36,9,43,10,28
2022-11-12,24,33,45,10,28
2022-11-13,14,59,50,7,26
2022-11-14,11,7,47,16,30
2022-11-15,9,5,48,47,32
2022-11-16,8,5,45,43,31
2022-11-17,9,5,49,26,33
2022-11-18,6,6,50,27,30
2022-11-19,6,26,50,18,29
2022-11-20,5,83,45,15,28
2022-11-21,6,9,48,11,31
2022-11-22,5,5,47,9,29
2022-11-23,5,6,41,11,34
2022-11-24,3,8,44,8,28
2022-11-25,3,11,44,7,29
2022-11-26,3,48,44,9,30
2022-11-27,3,36,42,8,31
2022-11-28,3,6,39,6,37
2022-11-29,3,4,41,4,34
2022-11-30,3,4,43,4,33
2022-12-01,3,4,43,5,32
2022-12-02,9,5,45,5,32
2022-12-03,9,11,40,6,28
2022-12-04,6,8,43,6,27
2022-12-05,9,6,40,4,25
2022-12-06,20,5,45,5,29
2022-12-07,14,4,46,4,33
2022-12-08,10,5,42,2,28
2022-12-09,7,4,40,5,28
2022-12-10,3,5,49,6,28
2022-12-11,3,5,47,6,28
2022-12-12,4,3,46,4,30
2022-12-13,7,5,40,7,34
2022-12-14,5,4,50,7,31
2022-12-15,3,3,48,4,43
2022-12-16,5,5,46,5,44
2022-12-17,3,11,47,5,32
2022-12-18,2,7,43,7,32
2022-12-19,2,6,40,4,31
2022-12-20,2,6,36,4,29
2022-12-21,2,11,43,5,33
2022-12-22,0,9,47,4,27
