Category: All categories

Week,2nd Amendment: (Oregon)
2019-08-11,32
2019-08-18,18
2019-08-25,0
2019-09-01,21
2019-09-08,31
2019-09-15,17
2019-09-22,19
2019-09-29,15
2019-10-06,18
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,14
2019-12-01,14
2019-12-08,15
2019-12-15,20
2019-12-22,24
2019-12-29,22
2020-01-05,18
2020-01-12,26
2020-01-19,57
2020-01-26,35
2020-02-02,20
2020-02-09,18
2020-02-16,14
2020-02-23,0
2020-03-01,0
2020-03-08,14
2020-03-15,14
2020-03-22,15
2020-03-29,0
2020-04-05,13
2020-04-12,48
2020-04-19,31
2020-04-26,17
2020-05-03,17
2020-05-10,18
2020-05-17,19
2020-05-24,12
2020-05-31,51
2020-06-07,23
2020-06-14,28
2020-06-21,0
2020-06-28,25
2020-07-05,14
2020-07-12,18
2020-07-19,17
2020-07-26,15
2020-08-02,20
2020-08-09,16
2020-08-16,22
2020-08-23,22
2020-08-30,29
2020-09-06,18
2020-09-13,17
2020-09-20,32
2020-09-27,16
2020-10-04,15
2020-10-11,30
2020-10-18,22
2020-10-25,22
2020-11-01,26
2020-11-08,26
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,29
2021-01-10,29
2021-01-17,22
2021-01-24,19
2021-01-31,0
2021-02-07,0
2021-02-14,20
2021-02-21,0
2021-02-28,0
2021-03-07,16
2021-03-14,0
2021-03-21,50
2021-03-28,22
2021-04-04,27
2021-04-11,0
2021-04-18,19
2021-04-25,16
2021-05-02,17
2021-05-09,0
2021-05-16,18
2021-05-23,0
2021-05-30,17
2021-06-06,0
2021-06-13,0
2021-06-20,18
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,16
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,12
2022-04-03,15
2022-04-10,0
2022-04-17,15
2022-04-24,19
2022-05-01,24
2022-05-08,0
2022-05-15,20
2022-05-22,100
2022-05-29,76
2022-06-05,59
2022-06-12,19
2022-06-19,52
2022-06-26,20
2022-07-03,18
2022-07-10,13
2022-07-17,23
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,14
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,19
2022-10-02,0
2022-10-09,0
2022-10-16,12
2022-10-23,17
2022-10-30,14
2022-11-06,29
2022-11-13,15
2022-11-20,16
2022-11-27,14
2022-12-04,20
2022-12-11,31
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,13
2023-01-15,17
2023-01-22,15
2023-01-29,16
2023-02-05,18
2023-02-12,19
2023-02-19,0
2023-02-26,19
2023-03-05,17
2023-03-12,0
2023-03-19,13
2023-03-26,35
2023-04-02,19
2023-04-09,20
2023-04-16,21
2023-04-23,18
2023-04-30,19
2023-05-07,26
2023-05-14,17
2023-05-21,0
2023-05-28,0
2023-06-04,16
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,14
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,18
2023-09-17,20
2023-09-24,23
2023-10-01,14
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,15
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,17
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,14
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,13
2024-04-28,0
2024-05-05,0
2024-05-12,18
2024-05-19,17
2024-05-26,0
2024-06-02,0
2024-06-09,16
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,0
2024-08-04,15
2024-08-11,0
