Category: All categories

Week,Background check: (Oregon)
2019-08-11,61
2019-08-18,53
2019-08-25,53
2019-09-01,48
2019-09-08,54
2019-09-15,56
2019-09-22,54
2019-09-29,49
2019-10-06,53
2019-10-13,61
2019-10-20,51
2019-10-27,53
2019-11-03,47
2019-11-10,49
2019-11-17,47
2019-11-24,25
2019-12-01,33
2019-12-08,40
2019-12-15,36
2019-12-22,29
2019-12-29,43
2020-01-05,42
2020-01-12,46
2020-01-19,55
2020-01-26,57
2020-02-02,54
2020-02-09,49
2020-02-16,45
2020-02-23,46
2020-03-01,49
2020-03-08,55
2020-03-15,63
2020-03-22,56
2020-03-29,40
2020-04-05,38
2020-04-12,42
2020-04-19,38
2020-04-26,35
2020-05-03,39
2020-05-10,38
2020-05-17,33
2020-05-24,32
2020-05-31,44
2020-06-07,44
2020-06-14,48
2020-06-21,44
2020-06-28,49
2020-07-05,48
2020-07-12,49
2020-07-19,50
2020-07-26,44
2020-08-02,47
2020-08-09,52
2020-08-16,57
2020-08-23,51
2020-08-30,51
2020-09-06,36
2020-09-13,40
2020-09-20,44
2020-09-27,47
2020-10-04,37
2020-10-11,44
2020-10-18,40
2020-10-25,42
2020-11-01,33
2020-11-08,46
2020-11-15,40
2020-11-22,41
2020-11-29,43
2020-12-06,41
2020-12-13,44
2020-12-20,38
2020-12-27,36
2021-01-03,45
2021-01-10,42
2021-01-17,49
2021-01-24,42
2021-01-31,44
2021-02-07,51
2021-02-14,39
2021-02-21,41
2021-02-28,42
2021-03-07,43
2021-03-14,45
2021-03-21,64
2021-03-28,52
2021-04-04,51
2021-04-11,53
2021-04-18,57
2021-04-25,44
2021-05-02,43
2021-05-09,49
2021-05-16,46
2021-05-23,47
2021-05-30,37
2021-06-06,57
2021-06-13,42
2021-06-20,44
2021-06-27,49
2021-07-04,38
2021-07-11,47
2021-07-18,45
2021-07-25,37
2021-08-01,48
2021-08-08,44
2021-08-15,51
2021-08-22,46
2021-08-29,41
2021-09-05,36
2021-09-12,34
2021-09-19,38
2021-09-26,39
2021-10-03,59
2021-10-10,39
2021-10-17,47
2021-10-24,35
2021-10-31,46
2021-11-07,41
2021-11-14,45
2021-11-21,36
2021-11-28,46
2021-12-05,42
2021-12-12,40
2021-12-19,37
2021-12-26,37
2022-01-02,40
2022-01-09,40
2022-01-16,50
2022-01-23,59
2022-01-30,44
2022-02-06,53
2022-02-13,52
2022-02-20,57
2022-02-27,54
2022-03-06,51
2022-03-13,60
2022-03-20,56
2022-03-27,61
2022-04-03,50
2022-04-10,49
2022-04-17,48
2022-04-24,51
2022-05-01,45
2022-05-08,49
2022-05-15,52
2022-05-22,97
2022-05-29,70
2022-06-05,59
2022-06-12,50
2022-06-19,47
2022-06-26,45
2022-07-03,46
2022-07-10,46
2022-07-17,49
2022-07-24,51
2022-07-31,49
2022-08-07,54
2022-08-14,55
2022-08-21,43
2022-08-28,55
2022-09-04,57
2022-09-11,50
2022-09-18,49
2022-09-25,41
2022-10-02,60
2022-10-09,54
2022-10-16,49
2022-10-23,53
2022-10-30,56
2022-11-06,62
2022-11-13,89
2022-11-20,100
2022-11-27,90
2022-12-04,92
2022-12-11,75
2022-12-18,51
2022-12-25,42
2023-01-01,56
2023-01-08,59
2023-01-15,53
2023-01-22,50
2023-01-29,55
2023-02-05,57
2023-02-12,46
2023-02-19,48
2023-02-26,46
2023-03-05,69
2023-03-12,55
2023-03-19,45
2023-03-26,61
2023-04-02,53
2023-04-09,64
2023-04-16,58
2023-04-23,61
2023-04-30,60
2023-05-07,61
2023-05-14,57
2023-05-21,54
2023-05-28,45
2023-06-04,51
2023-06-11,50
2023-06-18,48
2023-06-25,49
2023-07-02,56
2023-07-09,60
2023-07-16,49
2023-07-23,51
2023-07-30,53
2023-08-06,59
2023-08-13,41
2023-08-20,39
2023-08-27,54
2023-09-03,52
2023-09-10,47
2023-09-17,46
2023-09-24,55
2023-10-01,54
2023-10-08,51
2023-10-15,58
2023-10-22,50
2023-10-29,43
2023-11-05,48
2023-11-12,55
2023-11-19,40
2023-11-26,62
2023-12-03,58
2023-12-10,46
2023-12-17,51
2023-12-24,44
2023-12-31,45
2024-01-07,49
2024-01-14,42
2024-01-21,41
2024-01-28,53
2024-02-04,46
2024-02-11,38
2024-02-18,46
2024-02-25,62
2024-03-03,57
2024-03-10,75
2024-03-17,64
2024-03-24,64
2024-03-31,50
2024-04-07,57
2024-04-14,57
2024-04-21,69
2024-04-28,58
2024-05-05,57
2024-05-12,47
2024-05-19,56
2024-05-26,59
2024-06-02,52
2024-06-09,47
2024-06-16,52
2024-06-23,52
2024-06-30,43
2024-07-07,45
2024-07-14,53
2024-07-21,57
2024-07-28,50
2024-08-04,57
2024-08-11,64
