Category: All categories

Week,Firearm: (Oregon)
2019-08-11,30
2019-08-18,34
2019-08-25,43
2019-09-01,44
2019-09-08,28
2019-09-15,36
2019-09-22,33
2019-09-29,33
2019-10-06,43
2019-10-13,47
2019-10-20,30
2019-10-27,34
2019-11-03,41
2019-11-10,35
2019-11-17,43
2019-11-24,27
2019-12-01,42
2019-12-08,40
2019-12-15,38
2019-12-22,40
2019-12-29,56
2020-01-05,32
2020-01-12,40
2020-01-19,54
2020-01-26,24
2020-02-02,44
2020-02-09,36
2020-02-16,44
2020-02-23,41
2020-03-01,48
2020-03-08,42
2020-03-15,59
2020-03-22,65
2020-03-29,50
2020-04-05,52
2020-04-12,48
2020-04-19,50
2020-04-26,53
2020-05-03,45
2020-05-10,57
2020-05-17,43
2020-05-24,38
2020-05-31,67
2020-06-07,67
2020-06-14,58
2020-06-21,55
2020-06-28,62
2020-07-05,63
2020-07-12,65
2020-07-19,56
2020-07-26,54
2020-08-02,46
2020-08-09,46
2020-08-16,49
2020-08-23,73
2020-08-30,80
2020-09-06,42
2020-09-13,53
2020-09-20,53
2020-09-27,53
2020-10-04,47
2020-10-11,39
2020-10-18,46
2020-10-25,59
2020-11-01,34
2020-11-08,50
2020-11-15,35
2020-11-22,38
2020-11-29,45
2020-12-06,48
2020-12-13,38
2020-12-20,39
2020-12-27,45
2021-01-03,47
2021-01-10,62
2021-01-17,40
2021-01-24,44
2021-01-31,48
2021-02-07,44
2021-02-14,24
2021-02-21,54
2021-02-28,34
2021-03-07,43
2021-03-14,47
2021-03-21,62
2021-03-28,52
2021-04-04,49
2021-04-11,53
2021-04-18,50
2021-04-25,42
2021-05-02,50
2021-05-09,50
2021-05-16,33
2021-05-23,33
2021-05-30,50
2021-06-06,0
2021-06-13,29
2021-06-20,55
2021-06-27,38
2021-07-04,49
2021-07-11,41
2021-07-18,34
2021-07-25,38
2021-08-01,25
2021-08-08,26
2021-08-15,61
2021-08-22,44
2021-08-29,33
2021-09-05,40
2021-09-12,28
2021-09-19,27
2021-09-26,24
2021-10-03,48
2021-10-10,40
2021-10-17,52
2021-10-24,35
2021-10-31,44
2021-11-07,45
2021-11-14,59
2021-11-21,52
2021-11-28,32
2021-12-05,35
2021-12-12,44
2021-12-19,37
2021-12-26,21
2022-01-02,45
2022-01-09,50
2022-01-16,41
2022-01-23,36
2022-01-30,32
2022-02-06,42
2022-02-13,35
2022-02-20,58
2022-02-27,44
2022-03-06,51
2022-03-13,50
2022-03-20,65
2022-03-27,37
2022-04-03,47
2022-04-10,39
2022-04-17,39
2022-04-24,48
2022-05-01,43
2022-05-08,43
2022-05-15,48
2022-05-22,70
2022-05-29,47
2022-06-05,58
2022-06-12,49
2022-06-19,43
2022-06-26,41
2022-07-03,67
2022-07-10,47
2022-07-17,35
2022-07-24,54
2022-07-31,40
2022-08-07,44
2022-08-14,48
2022-08-21,42
2022-08-28,43
2022-09-04,41
2022-09-11,47
2022-09-18,31
2022-09-25,41
2022-10-02,36
2022-10-09,35
2022-10-16,53
2022-10-23,38
2022-10-30,45
2022-11-06,72
2022-11-13,85
2022-11-20,100
2022-11-27,97
2022-12-04,85
2022-12-11,72
2022-12-18,41
2022-12-25,61
2023-01-01,49
2023-01-08,55
2023-01-15,51
2023-01-22,49
2023-01-29,67
2023-02-05,55
2023-02-12,42
2023-02-19,50
2023-02-26,46
2023-03-05,61
2023-03-12,31
2023-03-19,50
2023-03-26,63
2023-04-02,65
2023-04-09,62
2023-04-16,45
2023-04-23,47
2023-04-30,47
2023-05-07,55
2023-05-14,35
2023-05-21,37
2023-05-28,48
2023-06-04,52
2023-06-11,32
2023-06-18,43
2023-06-25,55
2023-07-02,33
2023-07-09,48
2023-07-16,47
2023-07-23,50
2023-07-30,35
2023-08-06,35
2023-08-13,44
2023-08-20,48
2023-08-27,39
2023-09-03,37
2023-09-10,43
2023-09-17,48
2023-09-24,62
2023-10-01,49
2023-10-08,69
2023-10-15,43
2023-10-22,49
2023-10-29,58
2023-11-05,39
2023-11-12,38
2023-11-19,43
2023-11-26,40
2023-12-03,43
2023-12-10,44
2023-12-17,47
2023-12-24,43
2023-12-31,54
2024-01-07,44
2024-01-14,32
2024-01-21,42
2024-01-28,41
2024-02-04,47
2024-02-11,23
2024-02-18,54
2024-02-25,51
2024-03-03,37
2024-03-10,44
2024-03-17,47
2024-03-24,59
2024-03-31,43
2024-04-07,51
2024-04-14,53
2024-04-21,41
2024-04-28,44
2024-05-05,42
2024-05-12,50
2024-05-19,39
2024-05-26,44
2024-06-02,38
2024-06-09,40
2024-06-16,46
2024-06-23,38
2024-06-30,36
2024-07-07,44
2024-07-14,40
2024-07-21,50
2024-07-28,51
2024-08-04,43
2024-08-11,40
